id,nom,categorie,kcal,proteines,glucides,lipides,fibres,agSatures,agTrans,agMonoInsatures,agPolyInsatures,omega3,omega6,omega9,fer,magnesium,potassium,calcium,zinc,sodium,selenium,iode,vitA,vitC,vitD,vitE,vitK1,vitK2,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,creatine,collagene
framboise,Framboise,fruit,52,1.2,7,0.7,6.5,0,0,0,0,0,0,0,0,22,151,25,0,0,0,0,0,26,0,0.9,7.8,0,0.03,0.04,0.6,0.33,0.06,21,0,0,0
myrtille,Myrtille,fruit,57,0.7,12,0.3,2.4,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,9.7,0,0.6,19,0,0.04,0.04,0.42,0.12,0.05,0,0,0,0
raisin,Raisin,fruit,69,0.7,16,0.2,0.9,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,3,0,0,14.6,0,0.07,0.07,0.19,0.05,0.09,0,0,0,0
ananas,Ananas,fruit,50,0.5,11,0.1,1.4,0,0,0,0,0,0,0,0,12,109,0,0,0,0,0,0,48,0,0,0,0,0.08,0.03,0.5,0.21,0.11,18,0,0,0
melon,Melon,fruit,34,0.8,7.4,0.2,0.9,0,0,0,0,0,0,0,0,0,267,0,0,16,0,0,169,37,0,0,0,0,0.04,0.02,0.7,0.16,0.07,21,0,0,0
pasteque,Pastèque,fruit,30,0.6,7,0.2,0.4,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,28,8,0,0,0,0,0.03,0.02,0.18,0.22,0.05,0,0,0,0
citron,Citron,fruit,29,1.1,6,0.3,2.8,0,0,0,0,0,0,0,0,0,138,26,0,0,0,0,0,53,0,0,0,0,0.04,0.02,0.1,0.19,0.08,0,0,0,0
pamplemousse,Pamplemousse,fruit,42,0.8,9,0.1,1.6,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,46,31,0,0,0,0,0.04,0.03,0.25,0.26,0.04,0,0,0,0
prune,Prune,fruit,46,0.7,10,0.3,1.4,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,17,9.5,0,0,6.4,0,0.03,0.03,0.42,0.14,0.03,0,0,0,0
figue,Figue,fruit,74,0.8,16,0.3,2.9,0,0,0,0,0,0,0,0,17,232,35,0,0,0,0,0,2,0,0,4.7,0,0.06,0.05,0.4,0.3,0.11,0,0,0,0
datte,Datte,fruit,282,2.5,64,0.4,8,0,0,0,0,0,0,0,1,43,656,39,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1.6,0.8,0.17,19,0,0,0
grenade,Grenade,fruit,83,1.7,14,1.2,4,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,10,0,0,16,0,0.07,0.05,0.29,0.38,0.08,38,0,0,0
avocat,Avocat,fruit,160,2,1.8,14.7,6.7,2.1,0,9.8,1.8,0.013000000000000001,1.7,9.8,0,29,485,0,0,0,0,0,0,10,0,2.1,21,0,0.07,0.13,1.7,1.4,0.26,81,0,0,0
compote,Compote de pomme,fruit,68,0.2,16,0.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0.02,0.1,0.06,0.03,0,0,0,0
tomate,Tomate,legume,18,0.9,3.5,0.2,1.2,0,0,0,0,0,0,0,0,11,237,0,0,0,0,0,42,14,0,0.5,7.9,0,0.04,0.02,0.6,0.09,0.08,15,0,0,0
haricots-verts,Haricots verts (cuits),legume,35,1.9,5,0.3,4,0,0,0,0,0,0,0,0.7,18,146,44,0,0,0,0,35,9.7,0,0,47.5,0,0.06,0.1,0.6,0.2,0.06,33,0,0,0
carotte,Carotte,legume,41,0.9,7,0.2,2.8,0,0,0,0,0,0,0,0,0,320,33,0,69,0,0,835,6,0,0,13,0,0.06,0.05,0.98,0.27,0.14,19,0,0,0
courgette,Courgette (cuite),legume,17,1.2,2,0.3,1,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,10,13,0,0,4.3,0,0.04,0.09,0.45,0.2,0.16,24,0,0,0
brocoli,Brocoli (cuit),legume,35,2.4,4,0.4,3.3,0,0,0,0,0,0,0,0,21,293,40,0,0,1.6,0,77,65,0,1.5,141,0,0.06,0.12,0.6,0.57,0.2,108,0,0,0
epinards,Épinards (cuits),legume,23,3,1.4,0.3,2.4,0,0,0,0,0,0,0,3.6,87,466,136,0,0,0,0,524,10,0,2.1,494,0,0.1,0.24,0.49,0.15,0.24,146,0,0,0
salade,Salade verte (laitue),legume,15,1.4,1.5,0.2,1.3,0,0,0,0,0,0,0,0,0,247,36,0,0,0,0,25,4,0,0,102,0,0.07,0.08,0.38,0.13,0.09,38,0,0,0
concombre,Concombre,legume,15,0.7,2.2,0.1,0.5,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,2.8,0,0,16,0,0.03,0.03,0.1,0.26,0.04,0,0,0,0
poivron,Poivron rouge,legume,31,1,4.2,0.3,2.1,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,157,128,0,1.6,0,0,0.05,0.09,1,0.32,0.29,46,0,0,0
champignon,Champignons de Paris,legume,22,3.1,2.3,0.3,1,0,0,0,0,0,0,0,0,0,318,0,0.5,0,9.3,0,0,0,0.2,0,0,0,0.08,0.4,3.6,1.5,0.1,17,0,0,0
oignon,Oignon,legume,40,1.1,7.6,0.1,1.7,0,0,0,0,0,0,0,0,0,146,23,0,0,0,0,0,7,0,0,0,0,0.05,0.03,0.12,0.12,0.12,19,0,0,0
chou-fleur,Chou-fleur (cuit),legume,24,1.8,2.8,0.3,2.3,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,44,0,0,13.8,0,0.05,0.06,0.5,0.5,0.18,44,0,0,0
petits-pois,Petits pois (cuits),legume,84,5.4,12.6,0.2,5.5,0,0,0,0,0,0,0,1.5,39,271,0,1.2,0,0,0,38,14,0,0,25.9,0,0.26,0.09,2.1,0.1,0.14,63,0,0,0
petits-pois-carottes,Petits pois & carottes (boîte),legume,62,3.5,8.5,0.4,4,0,0,0,0,0,0,0,1,22,190,0,0.8,250,0,0,420,8,0,0,18,0,0.2,0.08,1.5,0.3,0.12,35,0,0,0
mais,Maïs (boîte),legume,96,2.9,16,1.2,2.4,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,5,0,0,0,0,0.1,0.06,1.2,0.5,0.09,42,0,0,0
patate-douce,Patate douce (cuite),legume,90,2,18.5,0.2,3.3,0,0,0,0,0,0,0,0,27,475,38,0,0,0,0,961,19.6,0,0.7,0,0,0.08,0.06,0.6,0.8,0.21,6,0,0,0
pomme-de-terre,Pomme de terre (cuite à l'eau),feculent,87,1.9,19,0.1,1.8,0,0,0,0,0,0,0,0.3,22,379,0,0,0,0,0,0,13,0,0,0,0,0.08,0.03,1.1,0.3,0.24,10,0,0,0
pommes-de-terre-sautees,Pommes de terre sautées,feculent,170,2.3,23,7.5,2.2,1.1,0,4.5,1.4,0,1.2,4.3,0.5,24,420,0,0,200,0,0,0,12,0,0,0,0,0.09,0.03,1.3,0.35,0.28,12,0,0,0
riz-blanc,Riz blanc (cuit),feculent,130,2.7,28,0.3,0.4,0,0,0,0,0,0,0,0.2,12,35,0,0.5,0,7.5,0,0,0,0,0,0,0,0.02,0.01,0.4,0.39,0.05,2,0,0,0
riz-complet,Riz complet (cuit),feculent,112,2.3,23,0.8,1.8,0,0,0,0,0,0,0,0,44,79,0,0,0,9.8,0,0,0,0,0,0,0,0.1,0.02,1.5,0.4,0.15,7,0,0,0
pates,Pâtes (cuites),feculent,131,5,25,1.1,1.8,0,0,0,0,0,0,0,0,18,44,0,0.5,0,26,0,0,0,0,0,0,0,0.02,0.02,0.5,0.1,0.03,7,0,0,0
pates-completes,Pâtes complètes (cuites),feculent,124,5.3,23.5,1.1,3.9,0,0,0,0,0,0,0,0,42,62,0,1.1,0,26,0,0,0,0,0,0,0,0.13,0.06,1.4,0.3,0.08,0,0,0,0
baguette,Pain baguette,feculent,270,8.8,55,1.5,2.7,0,0,0,0,0,0,0,1,21,0,0,0.8,590,27,0,0,0,0,0,0,0,0.2,0.12,3,0.4,0.1,25,0,0,0
pain-complet,Pain complet,feculent,250,10,42,3.5,6.5,0,0,0,0,0,0,0,2.3,60,0,0,1.5,450,30,0,0,0,0,0.6,0,0,0.25,0.11,4,0.6,0.18,40,0,0,0
quinoa,Quinoa (cuit),feculent,120,4.4,19,1.9,2.8,0,0,0.5,1.1,0.026000000000000002,0.97,0,1.5,64,172,0,1.1,0,0,0,0,0,0,0.6,0,0,0.11,0.11,0.5,0.3,0.12,42,0,0,0
semoule,Semoule (cuite),feculent,112,3.8,23,0.2,1.4,0,0,0,0,0,0,0,0,0,58,0,0,0,15,0,0,0,0,0,0,0,0.05,0.03,0.9,0.2,0.03,0,0,0,0
avoine,Flocons d'avoine,feculent,379,13.5,58,6.9,10.4,1.2,0,2.2,2.5,0.01,2.4,2.2,4,138,358,52,3.6,0,29,0,0,0,0,0.4,0,0,0.6,0.14,1,1.3,0.12,32,0,0,0
lentilles,Lentilles (cuites),feculent,116,9,17,0.4,7.9,0,0,0,0,0,0,0,3.3,36,369,0,1.3,0,2.8,0,0,0,0,0,0,0,0.17,0.07,1,0.6,0.18,181,0,0,0
lentilles-boite,Lentilles en boîte (égouttées),feculent,108,8,15,0.5,6.5,0,0,0,0,0,0,0,2.5,30,250,0,1.1,300,2.5,0,0,0,0,0,0,0,0.1,0.05,0.7,0.4,0.12,90,0,0,0
haricots-blancs,Haricots blancs (boîte),feculent,118,7.5,17,0.6,6,0,0,0,0,0,0,0,2.5,45,380,0,1,280,0,0,0,0,0,0,0,0,0.12,0.05,0.5,0.24,0.12,60,0,0,0
pois-chiches,Pois chiches (cuits),feculent,164,8.9,24,2.6,7.6,0,0,0,0,0,0,0,2.9,48,291,0,1.5,0,0,0,0,0,0,0.4,0,0,0.12,0.06,0.5,0.3,0.14,172,0,0,0
haricots-rouges,Haricots rouges (cuits),feculent,127,8.7,19,0.5,6.4,0,0,0,0,0,0,0,2.9,45,403,0,1,0,0,0,0,0,0,0,0,0,0.16,0.06,0.58,0.28,0.12,130,0,0,0
frites,Frites,feculent,290,3.5,36,14,3,2,0.3,5,6.5,0,6.3,5,0,0,550,0,0,250,0,0,0,10,0,0,0,0,0.1,0.04,1.8,0.5,0.3,0,0,0,0
steak-hache-5,Steak haché 5% (cuit),viande,148,26,0,4.5,0,2,0,1.9,0.2,0,0.15,1.8,2.6,24,350,0,5,72,17,0,0,0,0.1,0,0,2,0.05,0.2,5,0.6,0.4,8,2.6,0.4,1.3
steak-hache-15,Steak haché 15% (cuit),viande,230,24,0,15,0,6.5,0,6.8,0.5,0,0.4,6.5,2.4,0,320,0,4.8,75,17,0,0,0,0.1,0,0,2,0.05,0.18,4.5,0.6,0.35,0,2.4,0.38,1.6
entrecote,Entrecôte de bœuf (cuite),viande,240,27,0,15,0,6.5,0.4,6.5,0.5,0,0.4,6.2,2.2,0,330,0,4.5,60,20,0,0,0,0,0,0,2,0.08,0.2,5.5,0.6,0.5,0,2.5,0.4,1.4
bavette,Bavette de bœuf (cuite),viande,170,27,0,7,0,3,0,3,0.3,0,0.25,2.9,3,0,340,0,4.7,65,20,0,0,0,0,0,0,2,0.08,0.2,5.5,0.6,0.5,0,2.6,0.4,1.6
rumsteck,Rumsteck de bœuf (cuit),viande,140,29,0,3.5,0,1.4,0,1.4,0.1,0,0,1.3,3,0,370,0,4.7,60,20,0,0,0,0,0,0,2,0.09,0.22,6,0.65,0.55,0,2.6,0.4,1
filet-poulet,Filet de poulet (cuit),viande,165,31,0,3.6,0,1,0,1.3,0.8,0,0.7,1.3,0,29,256,0,1,74,27.6,0,0,0,0.1,0,0,9,0.07,0.12,13.7,1,0.6,4,0.3,0.4,0.8
cuisse-poulet,Cuisse de poulet (cuite),viande,215,26,0,12,0,3.3,0,5,2.8,0,2.5,4.8,1.3,0,240,0,2.4,90,25,0,0,0,0.2,0,0,25,0.08,0.2,6,1.1,0.35,0,0.6,0.35,2.1
aile-poulet,Aile de poulet (cuite),viande,290,27,0,19.5,0,5.5,0,8,4,0,3.6,7.7,0,0,0,0,2,95,24,0,0,0,0,0,0,25,0.05,0.13,7,0.9,0.4,0,0.4,0.3,3.5
dinde,Escalope de dinde (cuite),viande,150,29,0,2,0,0.6,0,0.5,0.5,0,0.45,0.5,0,0,250,0,1.5,60,30,0,0,0,0,0,0,8,0.06,0.15,10,0.9,0.55,0,0.4,0.4,0.7
cote-porc,Côte de porc (cuite),viande,250,27,0,15.5,0,5.8,0,6.8,1.8,0,1.6,6.5,0.9,0,350,0,2.4,60,38,0,0,0,0.5,0,0,3,0.7,0.25,5,0.7,0.4,0,0.7,0.45,1.4
filet-mignon-porc,Filet mignon de porc (cuit),viande,155,28,0,5,0,1.8,0,2.2,0.6,0,0.5,2.1,0.9,0,380,0,2,60,35,0,0,0,0.4,0,0,3,0.8,0.3,6,0.8,0.5,0,0.7,0.45,0.85
jambon-blanc,Jambon blanc,viande,115,20,0.5,3.5,0,1.2,0,1.6,0.5,0,0.4,1.5,0,0,300,0,1.6,800,15,0,0,0,0,0,0,2,0.5,0.2,4,0.5,0.3,0,0.7,0.3,1
lardons,Lardons (cuits),viande,325,23.8,0.5,25,0,9,0,11.5,2.7,0,2.4,10.8,0,0,0,0,1.8,1200,20,0,0,0,0,0,0,5,0.4,0.18,4,0.5,0.3,0,0.5,0.3,2.4
agneau,Gigot d'agneau (cuit),viande,230,26,0,14,0,6,0.5,5.8,1,0,0.8,5.5,1.8,0,0,0,4.3,65,20,0,0,0,0,0,0,3,0.1,0.25,6,0.6,0.13,0,2.6,0.4,1.3
saucisse,Saucisse de Toulouse (cuite),viande,300,16,1,26,0,9.5,0,12,3,0,2.7,11,0,0,0,0,1.8,800,0,0,0,0,0,0,0,5,0.3,0.18,3,0.5,0.25,0,1,0.35,2.4
merguez,Merguez (cuite),viande,280,15,1,24,0,9,0,11,2,0,1.8,10,2,0,0,0,2.5,900,0,0,0,0,0,0,0,0,0.1,0.2,3.5,0.5,0.25,0,1.5,0.3,2.2
saucisson,Saucisson sec,viande,410,24,1.5,35,0,13,0,16,3.5,0,3,15,1.4,0,0,0,2.9,1900,12,0,0,0,0,0,0,3,0.5,0.25,5,0.6,0.3,0,1,0.2,1.9
saumon,Saumon (cuit),poisson,206,22,0,13,0,2.5,0,5,4,2.41,1,4.5,0,29,384,0,0,60,41,12,0,0,10,1.1,0,0,0.2,0.15,8,1.5,0.6,26,2.8,0.45,0.7
saumon-fume,Saumon fumé,poisson,180,23,0,10,0,2,0,4,3,1.855,0.8,3.7,0,0,0,0,0,750,35,15,0,0,8,0,0,0,0.2,0.15,7,1.2,0.55,0,3,0.4,0.7
maquereau,Maquereau (filet),poisson,205,19,0,14,0,3.4,0,5.5,3.5,2.51,0.9,5,0,30,314,0,0,90,44,20,0,0,8,1.5,0,0,0.15,0.3,9,0.85,0.4,0,8.7,0.4,0.6
thon-boite,Thon en boîte (au naturel),poisson,116,26,0,1,0,0.3,0,0.2,0.4,0.262,0.1,0.2,1.4,0,0,0,0,320,70,12,0,0,1.7,0,0,0,0.05,0.1,13,0.3,0.35,0,2.5,0.4,0.5
cabillaud,Cabillaud (cuit),poisson,105,23,0,0.9,0,0.2,0,0,0,0.182,0,0,0,0,300,0,0,80,32,150,0,0,1,0,0,0,0.08,0.07,2.5,0.15,0.25,0,1.2,0.45,0.7
sardines,Sardines en boîte (huile),poisson,208,24,0,11.5,0,1.5,0,3.9,3.5,1.4100000000000001,1,3.7,2.9,0,0,382,0,400,52,30,0,0,4.8,2,0,0,0.04,0.23,5,0.6,0.17,0,8.9,0.4,1.4
crevettes,Crevettes (cuites),poisson,99,21,0.2,0.9,0,0.2,0,0,0,0.28200000000000003,0,0,0.5,0,0,0,1.6,380,42,40,0,0,0.2,0,0,0,0.03,0.04,2.5,0.3,0.1,0,1.7,0.2,0.6
oeuf,Œuf (entier),oeuf-laitier,140,12.6,0.7,9.8,0,3.1,0,3.7,1.4,0.055,1.2,3.6,1.8,0,138,56,1.3,140,30,25,160,0,2,1,0.3,15,0.04,0.46,0.08,1.5,0.17,47,1.1,0,0
fromage-blanc-0,Fromage blanc 0%,oeuf-laitier,47,7.5,4,0.2,0,0,0,0,0,0,0,0,0,0,130,110,0,35,0,20,0,0,0,0,0,0,0.04,0.2,0.1,0.4,0.06,10,0.4,0,0
fromage-blanc,Fromage blanc 3%,oeuf-laitier,78,6.8,3.5,3.2,0,2.1,0,0.9,0.1,0,0,0.8,0,0,125,105,0,35,0,20,30,0,0,0,0,0,0.04,0.2,0.1,0.4,0.06,0,0.4,0,0
yaourt-nature,Yaourt nature,oeuf-laitier,60,4,4.8,3,0,2,0,0.8,0.1,0,0,0.7,0,0,190,140,0,45,2,25,0,0,0,0,0,0,0.04,0.2,0.1,0.4,0.05,0,0.3,0,0
yaourt-grec,Yaourt à la grecque,oeuf-laitier,120,5.6,4,10,0,6.7,0,2.7,0.3,0,0,2.4,0,0,0,110,0,45,0,20,0,0,0,0,0,0,0.03,0.2,0.1,0.35,0.05,0,0.3,0,0
skyr,Skyr,oeuf-laitier,57,10,4,0.2,0,0,0,0,0,0,0,0,0,0,0,110,0,40,0,20,0,0,0,0,0,0,0.04,0.2,0.15,0.4,0.06,0,0.5,0,0
lait-demi,Lait demi-écrémé,oeuf-laitier,46,3.3,4.8,1.5,0,1,0,0,0,0,0,0,0,0,150,114,0,43,1.5,25,20,0,0.4,0,0,0,0.04,0.18,0.09,0.35,0.04,0,0.4,0,0
lait-entier,Lait entier,oeuf-laitier,63,3.2,4.6,3.6,0,2.3,0,1,0.1,0,0,0.9,0,0,145,112,0,43,0,25,46,0,0.5,0,0,0,0.04,0.18,0.09,0.35,0.04,0,0.4,0,0
emmental,Emmental,oeuf-laitier,380,28.5,1.5,29.5,0,17.5,0,8,1,0,0,7,0,0,0,970,4,330,11,40,200,0,0.6,0,0,35,0.05,0.35,0.1,0.4,0.1,0,2.5,0,0
camembert,Camembert,oeuf-laitier,280,20,0.5,23,0,14.5,0,6.5,0.7,0,0,5.8,0,0,0,460,2.4,840,0,25,230,0,0,0,0,40,0.05,0.5,0.9,1.4,0.23,45,1.3,0,0
mozzarella,Mozzarella,oeuf-laitier,256,18.6,2,19.5,0,12,0,5.5,0.6,0,0,4.8,0,0,0,430,2.8,500,0,0,180,0,0,0,0,20,0.03,0.28,0.1,0.14,0.04,0,1,0,0
parmesan,Parmesan,oeuf-laitier,392,35.7,0.7,26,0,17,0,7.5,0.6,0,0,6.5,0,0,0,1180,4,1600,22,0,210,0,0,0,0,60,0.03,0.33,0.27,0.45,0.09,0,2,0,0
chocolat-noir-85,Chocolat noir 85%,sucre-snack,590,9.5,24,46,12,28,0,15,1.4,0,1.3,14,11,230,715,60,3.3,0,0,0,0,0,0,0.6,7,0,0.05,0.08,1.1,0.4,0.04,0,0,0,0
chocolat-noir-70,Chocolat noir 70%,sucre-snack,546,7.8,38,42,8,24,0,13,1.3,0,1.2,12,8,146,570,40,2.3,0,0,0,0,0,0,0.5,5,0,0.06,0.09,1,0.42,0.04,0,0,0,0
chocolat-lait,Chocolat au lait,sucre-snack,535,7.3,57,30,2.4,18.5,0,9.5,1,0,0.9,9,2.3,63,372,190,1.5,0,0,0,0,0,0,0.5,0,0,0.1,0.3,0.5,0.5,0.04,0,0.4,0,0
chocolat-blanc,Chocolat blanc,sucre-snack,567,6.5,59,33,0,20,0,9,1,0,0,8.5,0,12,290,200,0,0,0,0,80,0,0,0,0,0,0.06,0.28,0.3,0.6,0.05,0,0,0,0
pate-tartiner,Pâte à tartiner chocolat-noisette,sucre-snack,539,6.3,57.5,30.9,3.4,10.6,0.1,12,6,0,5.5,11,4,64,407,108,1.3,0,0,0,0,0,0,5,0,0,0.05,0.2,1,0.5,0.1,0,0,0,0
chocolat-poudre,Chocolat en poudre (sucré),sucre-snack,377,4.5,80,3.5,5,2,0,0,0,0,0,0,8,60,420,0,1,0,0,0,0,0,0,0,0,0,0.06,0.1,0.5,0.3,0.05,0,0,0,0
petit-beurre,Biscuits petit-beurre,sucre-snack,440,7,74,11,2.5,7,0.1,3,1,0,0.9,2.8,1.5,0,0,25,0,300,0,0,0,0,0,0,0,0,0.15,0.1,1.5,0.3,0.05,0,0,0,0
cookie,Cookie,sucre-snack,480,5.5,65,22,2,11,0.2,8,2,0,1.8,7.5,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0.1,0.1,1,0.2,0.03,0,0,0,0
croissant,Croissant,sucre-snack,406,8,45,21,2.6,11,0.3,6,2,0,1.8,5.5,0,0,0,0,0,380,0,0,100,0,0,0.8,0,0,0.15,0.12,1.5,0.3,0.04,0,0,0,0
pain-chocolat,Pain au chocolat,sucre-snack,414,7.5,45,22,2.8,12,0.3,7,2,0,1.8,6.5,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0.15,0.15,1.4,0.3,0.04,0,0,0,0
madeleine,Madeleine,sucre-snack,460,6,53,25,1.5,12,0.2,9,3,0,2.7,8.5,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0.1,0.15,0.9,0.3,0.03,0,0,0,0
miel,Miel,sucre-snack,304,0.3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.12,0.07,0.02,0,0,0,0
confiture,Confiture,sucre-snack,240,0.5,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.01,0.01,0.15,0.04,0.02,0,0,0,0
sucre,Sucre,sucre-snack,400,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chips,Chips,sucre-snack,530,6,50,33,4,3.5,0.2,13,15,0,14.5,12.5,0,0,1200,0,0,530,0,0,0,15,0,5,0,0,0.16,0.06,3,0.5,0.5,0,0,0,0
glace,Glace (crème glacée),sucre-snack,200,3.5,24,10,0,6.5,0.1,2.7,0.4,0,0,2.4,0,0,0,120,0,0,0,0,100,0,0,0,0,0,0.04,0.24,0.1,0.5,0.05,0,0,0,0
beurre,Beurre,matiere-grasse,745,0.7,0.6,82,0,55,3,21,2.6,0.03,2,19,0,0,0,0,0,11,0,0,680,0,1.5,2,7,15,0,0.03,0.04,0.1,0,0,0,0,0
creme-fraiche,Crème fraîche 30%,matiere-grasse,292,2.3,3,30,0,20,1,8,1,0,0,7,0,0,0,80,0,0,0,0,270,0,0.3,0,0,10,0.03,0.13,0.08,0.3,0.03,0,0,0,0
huile-olive,Huile d'olive,matiere-grasse,900,0,0,100,0,14,0,73,11,0.076,9.8,71,0,0,0,0,0,0,0,0,0,0,0,14,60,0,0,0,0,0,0,0,0,0,0
huile-colza,Huile de colza,matiere-grasse,900,0,0,100,0,7,0,63,28,0.9099999999999999,19,61,0,0,0,0,0,0,0,0,0,0,0,18,71,0,0,0,0,0,0,0,0,0,0
amandes,Amandes,matiere-grasse,579,21,9.5,50,12.5,3.8,0,31,12.3,0,12.2,31,3.7,270,733,269,3.1,0,0,0,0,0,0,25.6,0,0,0.2,1.1,3.6,0.47,0.14,44,0,0,0
noix,Noix,matiere-grasse,654,15,7,65,6.7,6.1,0,8.9,47,0.9099999999999999,38,8.8,0,158,441,0,3,0,0,0,0,0,0,0.7,2.7,0,0.34,0.15,1.1,0.57,0.54,98,0,0,0
noisettes,Noisettes,matiere-grasse,628,15,8,61,9.7,4.5,0,46,7.8,0.009,7.8,45,4.7,163,0,114,0,0,0,0,0,0,0,15,0,0,0.64,0.11,1.8,0.9,0.56,113,0,0,0
graines-lin,Graines de lin,matiere-grasse,534,18,1.6,42,27,3.7,0,7.5,29,2.2800000000000002,5.9,7.4,5.7,392,813,255,4.3,0,0,0,0,0,0,0.3,0,0,1.6,0.16,3,0.98,0.47,87,0,0,0
graines-chia,Graines de chia,matiere-grasse,486,17,8,31,34,3.3,0,2.3,24,1.78,5.8,2.2,7.7,335,407,631,4.6,0,0,0,0,0,0,0,0,0,0.62,0.17,8.8,0.94,0.1,49,0,0,0
beurre-cacahuete,Beurre de cacahuète,matiere-grasse,588,25,20,50,6,10,0,24,14,0,13.8,23,0,168,649,0,2.9,17,0,0,0,0,0,9,0,0,0.15,0.15,13,1.1,0.5,87,0,0,0
jus-orange,Jus d'orange,boisson,45,0.7,10,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,33,0,0,0,0,0.09,0.03,0.4,0.2,0.06,25,0,0,0
coca,Coca-Cola,boisson,42,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coca-zero,Coca-Cola Zero,boisson,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
limonade,Limonade,boisson,40,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
